0: 131   88   91   30   86  106  114  114  103   75    0   71  119  131  134  134  
1: 132   90   87   32   92  108  114  114  102   50   48   73  122  131  134  134  
2: 116   93    0   43   95  109  113  112   96   50    0  103  125  134  136  134  
3: 115   93    0   76  103  112  113  109   93   48   18  112  131  136  137  133  
4:  91   93   32   87  106  112  112  101   74   47   75  120  132  137  136  132  
5:  93   90   43   93  108  112  112  100   48    0  103  125  136  138  137  118  
6:  95    0   77   97  112  112  105   91   46   15  115  131  138  138  137  120  
7:  97    0   84  102  110  111   97   86   41   80  123  133  139  139  137   96  
8:  97   37   87  104  110  106   95   41    0  103  131  139  140  140  125  102  
9:   0   42   92  108  110  104   91   37    0  116  134  140  141  131   21  105  
10:  37   15   88  103  109  104   95   34    0  111  133  139  142  133   23  109  
11:  90   15   87  102  109  104   95   74    0  105  132  140  138  113   28  112  
12:  43   50   94  103  108  103   90   27    0  115  136  137  137  134  113  116  
13:  68   17   91  103  105   35   91   45    0  112  137  136  137  136   32  120  
14:  59   55   93  103  105   32   87   18   35  123  139  136  138  136  120  123  
15:   0   59   93  103  104   28   83   15   32  130  131  137  138   56  124  127  
16:   0   61   95  103  104   95   80   11   75  132  128  138  138   56  129  121  
17:   0   74   99  104  104   93   70   10  112  129  134  138  138   41  133   96  
18:   0   75  101  105  104   92   55    0  114  124  133  138  138  131  133   96  
19:   0   77   18  105  104   95   64    0  112  121  131  137  137  133  132   93  
20:  23   81  103  106  105   94   59    0  120  116   50  137  136  140  130   75  
21:  21   76   23  106  105   97   59    0  115  125   48  136  136  139  129   75  
22:  17   78   21  108  106   97   59    0  112  122   46  136  141  138  125   70  
23:  32   88   27  109  106   96   56    0  109  119  132  140  141  136  122    5  
24:   5   84   93  110  108   99   34    0  106  115   40  141  140  136  124   84  
25:  11   87   95  110  109  100   56    0  103  113   40  140  140  136  125   86  
26:  21   84   97  111  110  103   69    0   99  111  139  140  140  136  125   78  
27:   0   91  100  108  111  103   76   27   95  108   37  140  140  136  127   85  
28:  20   93  101  108  111  103   85   23   92  103  136  139  139  134  127   84  
29:   0   65   97  106  109  106   91   20   86  102  134  139  140  137  131  108  
