0:  87  108  115  116  112   92   37    0  112  128  132  132  131  119   88    0  
1:  90  108  115  116  112   91   66    0  109  125  132  132  130  119   85   38  
2:  65  103  114  118  116  109   65    0   91  121  131  131  131  122  104    2  
3:  54   96  113  119  119  112   61   28   65  112  125  131  131  127  112   46  
4:   0   73  111  118  119  115  103   57    0  104  123  130  131  128  116   51  
5:  54   75  108  116  119  116  104   55    0   97  121  129  131  130  121   96  
6:   0   77  108  118  119  115  103   51    0  103  123  130  131  129  120   91  
7:   0   82  108  118  119  115  103   47    0  103  121  130  131  129  120   65  
8:   0   84  109  118  119  115  103   45    0   99  120  130  131  130  121   65  
9:  25   77   85  116  118  114  103   84    0  100  121  131  131  130  121   69  
10:  28   82   88  115  118  114  103   84    0  103  121  131  131  130  121   71  
11:  32   91   92  116  118  114   99   35    0  103  123  131  131  130  121   75  
12:   0   93   95  116  118  114  104   77    0  102  123  131  131  130  121   78  
13:  38   93   96  116  118  114   99   74    0  100  123  131  131  131  121   81  
14:  42   96  101  116  118  113   97   70    0  104  124  131  131  130  120   85  
15:   0   60  102   37  118  114  103   74    0   90  121  130  132  131  124   87  
16:  47   66  103  114  118  114   99   65    0  100  125  131  132  131  121   91  
17:   0   69  106  112  118  113  102   65    0  106  124  131  132  131  121   93  
18:   0   56  104  108  115  114  102   71    0   93  122  131  133  132  127   97  
19:   0   71  106  112  114  112  101   60    0  105  125  132  133  131  100  102  
20:   0   62  103  112  112  114  102   76    0  102  123  131  133  132   37  104  
21:   0   65  103  112  112  113  102   60    0   99  123  133  134  133  106  109  
22:   0   41   81  113  112  112  103   57    0   96  125  132  134  133  111  112  
23:  70   70   82  110  113  111  108   83    0   77  121  132  136  134   40  114  
24:  69   71   84  109  113   35  106   75    0   87  125  133  137  131  116  118  
25:   0   75   86  110  113  109  103   73    0   97  128  134  136  131  121  114  
26:  60   12   87   23  112  108  103   76    0   92  128  134  134  131  123  121  
27:  56   28   90   25  112   95  100   75    0  100  129  136  133  132  125  120  
28:   0   45   92   28  111   93   96   66    0  111  133  133  134  133  131  115  
29:  61   35   86   25  111  111   93   70    0  111  131  132  134  133  132  121  
30:   0   60   87  106  111  108   91   56    0  121  130  133  134  136  133  116  
31:   0   87   96  108  111   86   87   16   69  127  125  134  137  138  130  103  
32:  16   88  100  106  111   84   75    0   96  123  122  134  139  134  124   82  
33:   5   93  101  108  111   83   84    0   97  121   46  134  139  134  121   75  
34:   0   80   97  105  111  104   82    2   78  118  115  137  139  134  127   91  
35:  11   91  102  109  110  103   78    0   92  114  133  139  138  133  121   60  
36:   0   84  103  109  109  105   76    0  110  111   40  138  138  133  121   85  
37:   0   77  104  109  110  108   75   71   51  108  133  137  138  134  125   94  
38:   0   82  106  109  110  105   73   69  102  103  133  137  137  133  123   85  
